id,question,choice1,choice2,choice3,choice4,explanation,img,category
1-1,令和4年の日本の出産数に最も近いのはどれか,７７万人,５７万人,９７万人,１１７万人,正解：７７万人\n令和４年度の人口動態統計によると日本の出生数は７７万７５９人であり明治３２年の人口動態調査開始以来最少となった。第１１４回全国公開模擬試験にあります。,img/1-1.png,必修

2-1,骨の構造と機能で正しいのはどれか,緻密室には骨の趙軸方向に走るハバース管がある,黄色骨髄は造血を行う,骨内には血管や神経はない,成人では長管骨にのみ造血機能がある,正解：緻密室には骨の趙軸方向に走るハバース管がある\n骨辞意は海面室及び髄注の隙間を満たしています。骨髄のうち造血機能のあるものを赤色骨髄といい黄色骨髄は脂肪に富むため造血機能はありません。新生児ではすべての骨髄が赤色骨髄であるが、そのほとんどは年齢とともに造血機能を失い成人の赤色骨髄は胸骨や椎骨など一部の骨にのみ残ります。第１１４回全国公開模擬試験にあります。,img/2-1.png,人体

3-1,モルヒネの副作用で正しいのはどれか,呼吸抑制,易感染傾向,高血糖,第８脳神経障害,正解：呼吸抑制\n易感染傾向や高血糖はステロイド性抗炎症薬などで見られる副作用です。第８脳神経障害はアミノグリコシド系抗菌薬で見られる副作用です。モルヒネの副作用には呼吸抑制のほかに悪心、嘔吐、便秘などがあります。第１１４回全国公開模擬試験にあります。,img/3-1.png,疾病

4-1,ノーマライゼーションの理念に最も近いのはどれか,高齢者、障碍者等の移動等の円滑化の促進に関する法律,健康日本21,がん対策推進基本計画,トータルヘルスプロモーションプラン,正解：高齢者、障碍者等の移動等の円滑化の促進に関する法律\nノーマライゼーションとは障害者や高齢者など社会的に不利になりやすい人がほかの人と同じように生活し、活動する社会が正常な姿であるとする考え方です。様々な法律に反映されています。健康日本21は、国民の健康を守り、生活の質を高めるための基本計画です。がん対策推進基本計画はがんの予防・早期発見・治療を目的としています。トータルヘルスプロモーションプランは、健康と福祉を総合的に推進する計画です。第１１４回全国公開模擬試験にあります。,img/4-1.png,社会

5-1,健康の概念で正しいのはどれか,障害を持っていてもその人なりの健康がある,地域や文化による影響は少ない,健康と不健康とは不連続である,身体的健康が最も重要である,正解：障害を持っていてもその人なりの健康がある\nＷＨＯでは健康とは身体的・精神的及び社会的に完全に安寧を保っている状態をいうのであって単に病気や虚弱でないことではないと唱えられています。地域や文化が変われば健康の概念も変わります。健康と不健康ははっきり区別できず、連続的な関係です。第１１４回全国公開模擬試験にあります。,img/5-1.png,基礎

